value,gnn_layers,batch_size,dropout,lr,epoch
67.84,1,8,0.0,0.0001,100
68.03,1,8,0.0,0.0002,70
68.05,1,8,0.0,0.0003,60
67.41,1,8,0.0,0.0004,50
68.24,1,8,0.0,0.0005,50
67.58,1,8,0.0,0.0006,50
67.41,1,8,0.0,0.0007,50
67.9,1,8,0.0,0.0008,40
67.76,1,8,0.0,0.0009,40
68.32,1,8,0.1,0.0001,100
68.08,1,8,0.1,0.0002,70
67.37,1,8,0.1,0.0003,60
67.44,1,8,0.1,0.0004,50
67.59,1,8,0.1,0.0005,50
67.75,1,8,0.1,0.0006,50
68.71,1,8,0.1,0.0007,50
67.88,1,8,0.1,0.0008,40
67.86,1,8,0.1,0.0009,40
68.22,1,8,0.2,0.0001,100
68.19,1,8,0.2,0.0002,70
67.75,1,8,0.2,0.0003,60
67.83,1,8,0.2,0.0004,50
67.19,1,8,0.2,0.0005,50
67.09,1,8,0.2,0.0006,50
67.42,1,8,0.2,0.0007,50
67.34,1,8,0.2,0.0008,40
67.5,1,8,0.2,0.0009,40
67.9,1,8,0.3,0.0001,100
68.1,1,8,0.3,0.0002,70
68.68,1,8,0.3,0.0003,60
68.23,1,8,0.3,0.0004,50
68.27,1,8,0.3,0.0005,50
68.3,1,8,0.3,0.0006,50
67.5,1,8,0.3,0.0007,50
67.65,1,8,0.3,0.0008,40
67.25,1,8,0.3,0.0009,40
68.32,1,8,0.4,0.0001,100
68.39,1,8,0.4,0.0002,70
67.16,1,8,0.4,0.0003,60
68.37,1,8,0.4,0.0004,50
68.63,1,8,0.4,0.0005,50
68.52,1,8,0.4,0.0006,50
67.99,1,8,0.4,0.0007,50
68.43,1,8,0.4,0.0008,40
67.31,1,8,0.4,0.0009,40
68.52,1,8,0.5,0.0001,100
67.7,1,8,0.5,0.0002,70
67.82,1,8,0.5,0.0003,60
67.23,1,8,0.5,0.0004,50
67.55,1,8,0.5,0.0005,50
67.61,1,8,0.5,0.0006,50
68.42,1,8,0.5,0.0007,50
67.81,1,8,0.5,0.0008,40
68.03,1,8,0.5,0.0009,40
68.65,1,8,0.6,0.0001,100
68.02,1,8,0.6,0.0002,70
68.04,1,8,0.6,0.0003,60
68.02,1,8,0.6,0.0004,50
67.88,1,8,0.6,0.0005,50
67.8,1,8,0.6,0.0006,50
67.49,1,8,0.6,0.0007,50
67.14,1,8,0.6,0.0008,40
