value,gnn_layers,batch_size,dropout,lr,epoch
58.89,1,128,0.0,8e-06,100
58.84,1,128,0.0,9e-06,80
58.85,1,128,0.0,1e-05,70
58.68,1,128,0.0,2e-05,50
58.88,1,128,0.0,3e-05,50
58.75,1,128,0.0,4e-05,50
58.54,1,128,0.0,5e-05,40
58.29,1,128,0.0,6e-05,30
58.57,1,128,0.0,7e-05,30
58.91,1,128,0.1,8e-06,100
58.82,1,128,0.1,9e-06,80
58.96,1,128,0.1,1e-05,70
58.53,1,128,0.1,2e-05,50
58.72,1,128,0.1,3e-05,50
58.76,1,128,0.1,4e-05,50
58.69,1,128,0.1,5e-05,40
58.37,1,128,0.1,6e-05,30
58.38,1,128,0.1,7e-05,30
58.71,1,128,0.2,8e-06,100
58.96,1,128,0.2,9e-06,80
58.5,1,128,0.2,1e-05,70
58.35,1,128,0.2,2e-05,50
58.76,1,128,0.2,3e-05,50
58.9,1,128,0.2,4e-05,50
58.57,1,128,0.2,5e-05,40
58.4,1,128,0.2,6e-05,30
58.36,1,128,0.2,7e-05,30
58.5,1,128,0.3,8e-06,100
58.61,1,128,0.3,9e-06,80
58.4,1,128,0.3,1e-05,70
58.47,1,128,0.3,2e-05,50
59.14,1,128,0.3,3e-05,50
58.95,1,128,0.3,4e-05,50
58.8,1,128,0.3,5e-05,40
58.59,1,128,0.3,6e-05,30
58.37,1,128,0.3,7e-05,30
58.59,1,128,0.4,8e-06,100
58.62,1,128,0.4,9e-06,80
58.23,1,128,0.4,1e-05,70
58.57,1,128,0.4,2e-05,50
58.69,1,128,0.4,3e-05,50
58.79,1,128,0.4,4e-05,50
58.94,1,128,0.4,5e-05,40
58.52,1,128,0.4,6e-05,30
58.39,1,128,0.4,7e-05,30
58.52,1,128,0.5,8e-06,100
58.47,1,128,0.5,9e-06,80
58.33,1,128,0.5,1e-05,70
58.45,1,128,0.5,2e-05,50
58.72,1,128,0.5,3e-05,50
59.14,1,128,0.5,4e-05,50
58.98,1,128,0.5,5e-05,40
58.42,1,128,0.5,6e-05,30
58.42,1,128,0.5,7e-05,30
59.02,1,64,0.0,8e-06,100
59.04,1,64,0.0,9e-06,80
59.04,1,64,0.0,1e-05,70
58.97,1,64,0.0,2e-05,50
58.92,1,64,0.0,3e-05,50
59.06,1,64,0.0,4e-05,50
58.97,1,64,0.0,5e-05,40
59.34,1,64,0.0,6e-05,30
59.33,1,64,0.0,7e-05,30
58.96,1,64,0.1,8e-06,100
58.94,1,64,0.1,9e-06,80
58.97,1,64,0.1,1e-05,70
58.62,1,64,0.1,2e-05,50
59.15,1,64,0.1,3e-05,50
58.97,1,64,0.1,4e-05,50
58.82,1,64,0.1,5e-05,40
58.98,1,64,0.1,6e-05,30
59.06,1,64,0.1,7e-05,30
58.88,1,64,0.2,8e-06,100
59.12,1,64,0.2,9e-06,80
59.05,1,64,0.2,1e-05,70
58.59,1,64,0.2,2e-05,50
58.77,1,64,0.2,3e-05,50
59.01,1,64,0.2,4e-05,50
58.91,1,64,0.2,5e-05,40
58.98,1,64,0.2,6e-05,30
58.97,1,64,0.2,7e-05,30
58.83,1,64,0.3,8e-06,100
58.93,1,64,0.3,9e-06,80
58.81,1,64,0.3,1e-05,70
58.61,1,64,0.3,2e-05,50
58.76,1,64,0.3,3e-05,50
58.89,1,64,0.3,4e-05,50
58.98,1,64,0.3,5e-05,40
59.04,1,64,0.3,6e-05,30
58.89,1,64,0.3,7e-05,30
58.82,1,64,0.4,8e-06,100
58.67,1,64,0.4,9e-06,80
58.96,1,64,0.4,1e-05,70
58.71,1,64,0.4,2e-05,50
58.79,1,64,0.4,3e-05,50
58.9,1,64,0.4,4e-05,50
58.88,1,64,0.4,5e-05,40
58.91,1,64,0.4,6e-05,30
58.74,1,64,0.4,7e-05,30
59.16,1,64,0.5,8e-06,100
58.75,1,64,0.5,9e-06,80
58.75,1,64,0.5,1e-05,70
58.36,1,64,0.5,2e-05,50
58.59,1,64,0.5,3e-05,50
58.88,1,64,0.5,4e-05,50
58.98,1,64,0.5,5e-05,40
58.76,1,64,0.5,6e-05,30
58.91,1,64,0.5,7e-05,30
59.21,1,32,0.0,8e-06,100
58.68,1,32,0.0,9e-06,80
58.62,1,32,0.0,1e-05,70
58.78,1,32,0.0,2e-05,50
59.25,1,32,0.0,3e-05,50
59.1,1,32,0.0,4e-05,50
59.29,1,32,0.0,5e-05,40
59.11,1,32,0.0,6e-05,30
59.14,1,32,0.0,7e-05,30
59.06,1,32,0.1,8e-06,100
59.03,1,32,0.1,9e-06,80
58.72,1,32,0.1,1e-05,70
59.17,1,32,0.1,2e-05,50
58.97,1,32,0.1,3e-05,50
59.09,1,32,0.1,4e-05,50
59.45,1,32,0.1,5e-05,40
59.41,1,32,0.1,6e-05,30
59.04,1,32,0.1,7e-05,30
58.75,1,32,0.2,8e-06,100
58.67,1,32,0.2,9e-06,80
58.62,1,32,0.2,1e-05,70
59.14,1,32,0.2,2e-05,50
58.97,1,32,0.2,3e-05,50
59.34,1,32,0.2,4e-05,50
59.26,1,32,0.2,5e-05,40
59.3,1,32,0.2,6e-05,30
59.3,1,32,0.2,7e-05,30
59.1,1,32,0.3,8e-06,100
58.73,1,32,0.3,9e-06,80
58.66,1,32,0.3,1e-05,70
58.97,1,32,0.3,2e-05,50
59.0,1,32,0.3,3e-05,50
59.1,1,32,0.3,4e-05,50
59.29,1,32,0.3,5e-05,40
59.17,1,32,0.3,6e-05,30
59.3,1,32,0.3,7e-05,30
58.69,1,32,0.4,8e-06,100
58.74,1,32,0.4,9e-06,80
58.68,1,32,0.4,1e-05,70
59.03,1,32,0.4,2e-05,50
59.11,1,32,0.4,3e-05,50
59.26,1,32,0.4,4e-05,50
59.38,1,32,0.4,5e-05,40
59.26,1,32,0.4,6e-05,30
59.22,1,32,0.4,7e-05,30
58.98,1,32,0.5,8e-06,100
58.65,1,32,0.5,9e-06,80
58.73,1,32,0.5,1e-05,70
59.07,1,32,0.5,2e-05,50
59.03,1,32,0.5,3e-05,50
59.12,1,32,0.5,4e-05,50
59.36,1,32,0.5,5e-05,40
59.29,1,32,0.5,6e-05,30
59.54,1,32,0.5,7e-05,30
59.25,1,16,0.0,8e-06,100
59.36,1,16,0.0,9e-06,80
59.09,1,16,0.0,1e-05,70
58.99,1,16,0.0,2e-05,50
59.42,1,16,0.0,3e-05,50
59.1,1,16,0.0,4e-05,50
59.0,1,16,0.0,5e-05,40
58.71,1,16,0.0,6e-05,30
58.74,1,16,0.0,7e-05,30
58.97,1,16,0.1,8e-06,100
59.22,1,16,0.1,9e-06,80
59.4,1,16,0.1,1e-05,70
58.87,1,16,0.1,2e-05,50
59.24,1,16,0.1,3e-05,50
59.22,1,16,0.1,4e-05,50
58.93,1,16,0.1,5e-05,40
58.97,1,16,0.1,6e-05,30
58.84,1,16,0.1,7e-05,30
59.02,1,16,0.2,8e-06,100
58.96,1,16,0.2,9e-06,80
59.15,1,16,0.2,1e-05,70
58.98,1,16,0.2,2e-05,50
59.35,1,16,0.2,3e-05,50
59.43,1,16,0.2,4e-05,50
59.22,1,16,0.2,5e-05,40
58.91,1,16,0.2,6e-05,30
58.86,1,16,0.2,7e-05,30
