value,gnn_layers,batch_size,dropout,lr,epoch
38.72,1,64,0.0,0.0001,100
39.25,1,64,0.0,0.0002,70
38.96,1,64,0.0,0.0003,60
38.87,1,64,0.0,0.0004,50
39.22,1,64,0.0,0.0005,50
39.24,1,64,0.0,0.0006,50
39.08,1,64,0.0,0.0007,50
38.88,1,64,0.0,0.0008,40
39.07,1,64,0.0,0.0009,40
38.65,1,64,0.0,0.001,30
38.89,1,64,0.1,0.0001,100
39.28,1,64,0.1,0.0002,70
39.15,1,64,0.1,0.0003,60
38.75,1,64,0.1,0.0004,50
38.72,1,64,0.1,0.0005,50
39.23,1,64,0.1,0.0006,50
39.07,1,64,0.1,0.0007,50
38.83,1,64,0.1,0.0008,40
39.31,1,64,0.1,0.0009,40
38.85,1,64,0.1,0.001,30
39.08,1,64,0.2,0.0001,100
38.91,1,64,0.2,0.0002,70
38.96,1,64,0.2,0.0003,60
39.06,1,64,0.2,0.0004,50
39.27,1,64,0.2,0.0005,50
39.31,1,64,0.2,0.0006,50
38.96,1,64,0.2,0.0007,50
38.86,1,64,0.2,0.0008,40
38.88,1,64,0.2,0.0009,40
38.67,1,64,0.2,0.001,30
38.9,1,64,0.3,0.0001,100
39.43,1,64,0.3,0.0002,70
38.92,1,64,0.3,0.0003,60
39.36,1,64,0.3,0.0004,50
38.84,1,64,0.3,0.0005,50
39.12,1,64,0.3,0.0006,50
39.36,1,64,0.3,0.0007,50
38.72,1,64,0.3,0.0008,40
39.42,1,64,0.3,0.0009,40
38.55,1,64,0.3,0.001,30
38.7,1,64,0.4,0.0001,100
38.87,1,64,0.4,0.0002,70
38.82,1,64,0.4,0.0003,60
39.27,1,64,0.4,0.0004,50
39.03,1,64,0.4,0.0005,50
39.22,1,64,0.4,0.0006,50
38.94,1,64,0.4,0.0007,50
39.48,1,64,0.4,0.0008,40
38.88,1,64,0.4,0.0009,40
39.09,1,64,0.4,0.001,30
38.69,1,64,0.5,0.0001,100
39.18,1,64,0.5,0.0002,70
39.06,1,64,0.5,0.0003,60
39.6,1,64,0.5,0.0004,50
39.1,1,64,0.5,0.0005,50
39.46,1,64,0.5,0.0006,50
39.82,1,64,0.5,0.0007,50
39.04,1,64,0.5,0.0008,40
38.42,1,64,0.5,0.0009,40
39.03,1,64,0.5,0.001,30
39.22,1,64,0.6,0.0001,100
38.84,1,64,0.6,0.0002,70
39.1,1,64,0.6,0.0003,60
38.95,1,64,0.6,0.0004,50
39.01,1,64,0.6,0.0005,50
38.91,1,64,0.6,0.0006,50
39.11,1,64,0.6,0.0007,50
38.57,1,64,0.6,0.0008,40
39.74,1,64,0.6,0.0009,40
38.74,1,64,0.6,0.001,30
39.47,1,64,0.7,0.0001,100
38.93,1,64,0.7,0.0002,70
39.16,1,64,0.7,0.0003,60
38.99,1,64,0.7,0.0004,50
38.87,1,64,0.7,0.0005,50
39.47,1,64,0.7,0.0006,50
39.88,1,64,0.7,0.0007,50
38.5,1,64,0.7,0.0008,40
39.22,1,64,0.7,0.0009,40
38.97,1,64,0.7,0.001,30
39.28,1,64,0.8,0.0001,100
39.3,1,64,0.8,0.0002,70
38.94,1,64,0.8,0.0003,60
39.17,1,64,0.8,0.0004,50
39.71,1,64,0.8,0.0005,50
39.32,1,64,0.8,0.0006,50
38.82,1,64,0.8,0.0007,50
39.1,1,64,0.8,0.0008,40
39.06,1,64,0.8,0.0009,40
39.16,1,64,0.8,0.001,30
39.37,1,64,0.9,0.0001,100
39.04,1,64,0.9,0.0002,70
38.84,1,64,0.9,0.0003,60
39.11,1,64,0.9,0.0004,50
38.97,1,64,0.9,0.0005,50
38.01,1,64,0.9,0.0006,50
38.98,1,64,0.9,0.0007,50
39.08,1,64,0.9,0.0008,40
37.86,1,64,0.9,0.0009,40
37.87,1,64,0.9,0.001,30
38.69,1,32,0.0,0.0001,100
38.82,1,32,0.0,0.0002,70
39.08,1,32,0.0,0.0003,60
38.65,1,32,0.0,0.0004,50
38.97,1,32,0.0,0.0005,50
39.8,1,32,0.0,0.0006,50
38.97,1,32,0.0,0.0007,50
38.79,1,32,0.0,0.0008,40
39.23,1,32,0.0,0.0009,40
39.01,1,32,0.0,0.001,30
38.74,1,32,0.1,0.0001,100
38.71,1,32,0.1,0.0002,70
38.75,1,32,0.1,0.0003,60
39.76,1,32,0.1,0.0004,50
39.31,1,32,0.1,0.0005,50
39.04,1,32,0.1,0.0006,50
39.01,1,32,0.1,0.0007,50
38.82,1,32,0.1,0.0008,40
39.19,1,32,0.1,0.0009,40
38.85,1,32,0.1,0.001,30
38.76,1,32,0.2,0.0001,100
38.97,1,32,0.2,0.0002,70
39.14,1,32,0.2,0.0003,60
38.68,1,32,0.2,0.0004,50
39.01,1,32,0.2,0.0005,50
39.06,1,32,0.2,0.0006,50
39.0,1,32,0.2,0.0007,50
38.47,1,32,0.2,0.0008,40
38.52,1,32,0.2,0.0009,40
39.07,1,32,0.2,0.001,30
39.15,1,32,0.3,0.0001,100
39.15,1,32,0.3,0.0002,70
38.71,1,32,0.3,0.0003,60
38.84,1,32,0.3,0.0004,50
39.01,1,32,0.3,0.0005,50
38.97,1,32,0.3,0.0006,50
38.71,1,32,0.3,0.0007,50
39.15,1,32,0.3,0.0008,40
39.45,1,32,0.3,0.0009,40
39.08,1,32,0.3,0.001,30
38.7,1,32,0.4,0.0001,100
38.7,1,32,0.4,0.0002,70
