value,gnn_layers,batch_size,dropout,lr,epoch
68.22,1,8,0.0,0.0001,100
67.78,1,8,0.0,0.0002,70
68.19,1,8,0.0,0.0003,60
67.77,1,8,0.0,0.0004,50
68.2,1,8,0.0,0.0005,50
67.32,1,8,0.0,0.0006,50
67.54,1,8,0.0,0.0007,50
67.87,1,8,0.0,0.0008,40
66.92,1,8,0.0,0.0009,40
68.24,1,8,0.1,0.0001,100
67.89,1,8,0.1,0.0002,70
67.74,1,8,0.1,0.0003,60
67.98,1,8,0.1,0.0004,50
67.46,1,8,0.1,0.0005,50
68.47,1,8,0.1,0.0006,50
68.14,1,8,0.1,0.0007,50
67.94,1,8,0.1,0.0008,40
67.54,1,8,0.1,0.0009,40
68.22,1,8,0.2,0.0001,100
68.15,1,8,0.2,0.0002,70
67.86,1,8,0.2,0.0003,60
67.64,1,8,0.2,0.0004,50
67.74,1,8,0.2,0.0005,50
67.84,1,8,0.2,0.0006,50
67.46,1,8,0.2,0.0007,50
68.13,1,8,0.2,0.0008,40
67.8,1,8,0.2,0.0009,40
67.65,1,8,0.3,0.0001,100
67.96,1,8,0.3,0.0002,70
68.45,1,8,0.3,0.0003,60
68.44,1,8,0.3,0.0004,50
68.1,1,8,0.3,0.0005,50
67.87,1,8,0.3,0.0006,50
68.22,1,8,0.3,0.0007,50
68.28,1,8,0.3,0.0008,40
67.76,1,8,0.3,0.0009,40
68.1,1,8,0.4,0.0001,100
67.93,1,8,0.4,0.0002,70
67.9,1,8,0.4,0.0003,60
67.77,1,8,0.4,0.0004,50
67.93,1,8,0.4,0.0005,50
68.24,1,8,0.4,0.0006,50
67.15,1,8,0.4,0.0007,50
67.7,1,8,0.4,0.0008,40
67.63,1,8,0.4,0.0009,40
68.31,1,8,0.5,0.0001,100
67.85,1,8,0.5,0.0002,70
67.98,1,8,0.5,0.0003,60
67.28,1,8,0.5,0.0004,50
67.84,1,8,0.5,0.0005,50
68.1,1,8,0.5,0.0006,50
67.59,1,8,0.5,0.0007,50
67.71,1,8,0.5,0.0008,40
67.59,1,8,0.5,0.0009,40
68.01,1,8,0.6,0.0001,100
68.47,1,8,0.6,0.0002,70
67.48,1,8,0.6,0.0003,60
67.85,1,8,0.6,0.0004,50
