[2022-06-21 00:06:33,386][run.py][line:117][INFO] start training on GPU 0!
[2022-06-21 00:06:33,386][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, iemocaptest=True, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=3, windowf=0, withvae=True, max_grad_norm=5.0, lr=2e-05, dropout=0.1, batch_size=16, epochs=50, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-21 00:07:21,897][run.py][line:158][INFO] Epoch: 1, train_loss: 0.4108, train_acc: 89.35, train_micro_fscore: 59.55, train_macro_fscore: 29.29, valid_loss: 0.3159, valid_acc: 91.0, valid_micro_fscore: 55.9, valid_macro_fscore: 28.1, test_loss: 1.9021, test_acc: 19.17, test_micro_fscore: 3.92, test_macro_fscore: 9.22, time: 30.72 sec
[2022-06-21 00:08:13,805][run.py][line:158][INFO] Epoch: 2, train_loss: 0.1747, train_acc: 93.93, train_micro_fscore: 78.05, train_macro_fscore: 38.19, valid_loss: 0.2969, valid_acc: 91.25, valid_micro_fscore: 59.58, valid_macro_fscore: 37.92, test_loss: 1.865, test_acc: 18.37, test_micro_fscore: 3.74, test_macro_fscore: 12.85, time: 51.91 sec
[2022-06-21 00:09:06,720][run.py][line:158][INFO] Epoch: 3, train_loss: 0.1526, train_acc: 94.95, train_micro_fscore: 83.09, train_macro_fscore: 55.88, valid_loss: 0.2976, valid_acc: 90.9, valid_micro_fscore: 61.34, valid_macro_fscore: 43.1, test_loss: 1.6665, test_acc: 35.08, test_micro_fscore: 26.2, test_macro_fscore: 20.27, time: 52.91 sec
[2022-06-21 00:10:00,482][run.py][line:158][INFO] Epoch: 4, train_loss: 0.1445, train_acc: 95.1, train_micro_fscore: 83.86, train_macro_fscore: 58.03, valid_loss: 0.2798, valid_acc: 90.83, valid_micro_fscore: 61.07, valid_macro_fscore: 43.53, test_loss: 1.5891, test_acc: 36.31, test_micro_fscore: 27.96, test_macro_fscore: 20.95, time: 53.76 sec
[2022-06-21 00:10:46,101][run.py][line:158][INFO] Epoch: 5, train_loss: 0.1416, train_acc: 95.16, train_micro_fscore: 84.14, train_macro_fscore: 61.49, valid_loss: 0.297, valid_acc: 91.11, valid_micro_fscore: 61.39, valid_macro_fscore: 42.95, test_loss: 1.6024, test_acc: 36.62, test_micro_fscore: 27.96, test_macro_fscore: 20.91, time: 45.62 sec
[2022-06-21 00:11:18,267][run.py][line:158][INFO] Epoch: 6, train_loss: 0.1387, train_acc: 95.26, train_micro_fscore: 84.59, train_macro_fscore: 64.18, valid_loss: 0.281, valid_acc: 91.25, valid_micro_fscore: 60.99, valid_macro_fscore: 42.89, test_loss: 1.5786, test_acc: 37.42, test_micro_fscore: 28.73, test_macro_fscore: 21.26, time: 32.17 sec
[2022-06-21 00:12:05,204][run.py][line:158][INFO] Epoch: 7, train_loss: 0.1375, train_acc: 95.33, train_micro_fscore: 84.89, train_macro_fscore: 65.54, valid_loss: 0.2856, valid_acc: 91.35, valid_micro_fscore: 61.24, valid_macro_fscore: 44.04, test_loss: 1.5338, test_acc: 38.59, test_micro_fscore: 30.55, test_macro_fscore: 21.43, time: 46.94 sec
[2022-06-21 00:12:46,621][run.py][line:158][INFO] Epoch: 8, train_loss: 0.1357, train_acc: 95.36, train_micro_fscore: 84.96, train_macro_fscore: 65.82, valid_loss: 0.2825, valid_acc: 90.69, valid_micro_fscore: 61.3, valid_macro_fscore: 44.61, test_loss: 1.4362, test_acc: 42.05, test_micro_fscore: 35.95, test_macro_fscore: 25.4, time: 41.42 sec
[2022-06-21 00:13:33,285][run.py][line:158][INFO] Epoch: 9, train_loss: 0.1353, train_acc: 95.39, train_micro_fscore: 85.12, train_macro_fscore: 67.76, valid_loss: 0.2983, valid_acc: 90.97, valid_micro_fscore: 61.06, valid_macro_fscore: 43.69, test_loss: 1.4242, test_acc: 45.25, test_micro_fscore: 39.35, test_macro_fscore: 27.44, time: 46.66 sec
[2022-06-21 00:14:26,354][run.py][line:158][INFO] Epoch: 10, train_loss: 0.1334, train_acc: 95.45, train_micro_fscore: 85.37, train_macro_fscore: 71.18, valid_loss: 0.279, valid_acc: 91.26, valid_micro_fscore: 61.6, valid_macro_fscore: 44.11, test_loss: 1.4216, test_acc: 47.04, test_micro_fscore: 41.68, test_macro_fscore: 28.45, time: 53.07 sec
[2022-06-21 00:15:14,662][run.py][line:158][INFO] Epoch: 11, train_loss: 0.1326, train_acc: 95.46, train_micro_fscore: 85.46, train_macro_fscore: 73.42, valid_loss: 0.2854, valid_acc: 91.44, valid_micro_fscore: 60.86, valid_macro_fscore: 42.11, test_loss: 1.4105, test_acc: 45.99, test_micro_fscore: 40.77, test_macro_fscore: 27.61, time: 48.31 sec
[2022-06-21 00:15:51,417][run.py][line:158][INFO] Epoch: 12, train_loss: 0.1318, train_acc: 95.47, train_micro_fscore: 85.53, train_macro_fscore: 74.39, valid_loss: 0.2768, valid_acc: 91.31, valid_micro_fscore: 61.08, valid_macro_fscore: 45.88, test_loss: 1.3386, test_acc: 50.8, test_micro_fscore: 45.35, test_macro_fscore: 31.55, time: 36.75 sec
[2022-06-21 00:16:35,290][run.py][line:158][INFO] Epoch: 13, train_loss: 0.13, train_acc: 95.51, train_micro_fscore: 85.64, train_macro_fscore: 74.89, valid_loss: 0.2844, valid_acc: 91.32, valid_micro_fscore: 61.87, valid_macro_fscore: 46.16, test_loss: 1.3434, test_acc: 51.42, test_micro_fscore: 46.53, test_macro_fscore: 33.24, time: 43.87 sec
[2022-06-21 00:17:10,851][run.py][line:158][INFO] Epoch: 14, train_loss: 0.1289, train_acc: 95.58, train_micro_fscore: 85.9, train_macro_fscore: 75.82, valid_loss: 0.2913, valid_acc: 91.5, valid_micro_fscore: 60.68, valid_macro_fscore: 43.26, test_loss: 1.383, test_acc: 50.99, test_micro_fscore: 45.48, test_macro_fscore: 31.84, time: 35.56 sec
[2022-06-21 00:18:02,208][run.py][line:158][INFO] Epoch: 15, train_loss: 0.1285, train_acc: 95.54, train_micro_fscore: 85.77, train_macro_fscore: 76.02, valid_loss: 0.3098, valid_acc: 90.63, valid_micro_fscore: 60.77, valid_macro_fscore: 45.68, test_loss: 1.3403, test_acc: 49.88, test_micro_fscore: 44.76, test_macro_fscore: 32.3, time: 51.36 sec
[2022-06-21 00:18:43,948][run.py][line:158][INFO] Epoch: 16, train_loss: 0.1285, train_acc: 95.56, train_micro_fscore: 85.82, train_macro_fscore: 76.22, valid_loss: 0.276, valid_acc: 91.35, valid_micro_fscore: 60.94, valid_macro_fscore: 45.63, test_loss: 1.3462, test_acc: 52.53, test_micro_fscore: 46.89, test_macro_fscore: 35.48, time: 41.74 sec
