[2022-06-24 09:06:50,044][run.py][line:117][INFO] start training on GPU 0!
[2022-06-24 09:06:50,044][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, iemocaptest=True, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=3, windowf=0, withvae=False, max_grad_norm=5.0, lr=7e-05, dropout=0.0, batch_size=32, epochs=30, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-24 09:07:38,066][run.py][line:158][INFO] Epoch: 1, train_loss: 0.2233, train_acc: 93.51, train_micro_fscore: 78.4, train_macro_fscore: 52.52, valid_loss: 0.287, valid_acc: 90.98, valid_micro_fscore: 61.21, valid_macro_fscore: 42.69, test_loss: 1.4902, test_acc: 38.22, test_micro_fscore: 33.41, test_macro_fscore: 33.88, time: 22.49 sec
[2022-06-24 09:08:00,772][run.py][line:158][INFO] Epoch: 2, train_loss: 0.1367, train_acc: 95.35, train_micro_fscore: 85.18, train_macro_fscore: 72.12, valid_loss: 0.28, valid_acc: 91.26, valid_micro_fscore: 61.09, valid_macro_fscore: 46.24, test_loss: 1.4424, test_acc: 49.01, test_micro_fscore: 44.82, test_macro_fscore: 40.51, time: 22.71 sec
[2022-06-24 09:08:18,780][run.py][line:158][INFO] Epoch: 3, train_loss: 0.1317, train_acc: 95.44, train_micro_fscore: 85.44, train_macro_fscore: 76.14, valid_loss: 0.3016, valid_acc: 90.8, valid_micro_fscore: 60.94, valid_macro_fscore: 47.02, test_loss: 1.475, test_acc: 50.55, test_micro_fscore: 47.98, test_macro_fscore: 42.77, time: 18.01 sec
[2022-06-24 09:08:26,901][run.py][line:158][INFO] Epoch: 4, train_loss: 0.131, train_acc: 95.44, train_micro_fscore: 85.52, train_macro_fscore: 76.95, valid_loss: 0.2974, valid_acc: 91.41, valid_micro_fscore: 59.36, valid_macro_fscore: 46.62, test_loss: 1.3908, test_acc: 54.5, test_micro_fscore: 50.98, test_macro_fscore: 45.53, time: 8.12 sec
[2022-06-24 09:08:35,000][run.py][line:158][INFO] Epoch: 5, train_loss: 0.1297, train_acc: 95.5, train_micro_fscore: 85.65, train_macro_fscore: 77.0, valid_loss: 0.2812, valid_acc: 91.3, valid_micro_fscore: 61.07, valid_macro_fscore: 45.87, test_loss: 1.4577, test_acc: 50.18, test_micro_fscore: 47.96, test_macro_fscore: 36.99, time: 8.1 sec
[2022-06-24 09:08:43,512][run.py][line:158][INFO] Epoch: 6, train_loss: 0.1278, train_acc: 95.52, train_micro_fscore: 85.76, train_macro_fscore: 77.33, valid_loss: 0.2792, valid_acc: 91.49, valid_micro_fscore: 61.06, valid_macro_fscore: 47.94, test_loss: 1.4078, test_acc: 51.36, test_micro_fscore: 48.62, test_macro_fscore: 43.06, time: 8.51 sec
[2022-06-24 09:08:51,639][run.py][line:158][INFO] Epoch: 7, train_loss: 0.1272, train_acc: 95.57, train_micro_fscore: 85.89, train_macro_fscore: 77.57, valid_loss: 0.2659, valid_acc: 91.39, valid_micro_fscore: 60.93, valid_macro_fscore: 46.96, test_loss: 1.4541, test_acc: 48.95, test_micro_fscore: 46.57, test_macro_fscore: 35.74, time: 8.13 sec
[2022-06-24 09:08:59,692][run.py][line:158][INFO] Epoch: 8, train_loss: 0.1266, train_acc: 95.57, train_micro_fscore: 85.85, train_macro_fscore: 76.98, valid_loss: 0.2892, valid_acc: 91.06, valid_micro_fscore: 61.39, valid_macro_fscore: 47.44, test_loss: 1.3796, test_acc: 53.02, test_micro_fscore: 49.69, test_macro_fscore: 44.52, time: 8.05 sec
[2022-06-24 09:09:08,278][run.py][line:158][INFO] Epoch: 9, train_loss: 0.125, train_acc: 95.61, train_micro_fscore: 85.98, train_macro_fscore: 77.64, valid_loss: 0.3011, valid_acc: 91.52, valid_micro_fscore: 60.2, valid_macro_fscore: 45.85, test_loss: 1.3724, test_acc: 55.86, test_micro_fscore: 54.59, test_macro_fscore: 46.72, time: 8.59 sec
[2022-06-24 09:09:16,394][run.py][line:158][INFO] Epoch: 10, train_loss: 0.1249, train_acc: 95.61, train_micro_fscore: 86.03, train_macro_fscore: 77.74, valid_loss: 0.2651, valid_acc: 91.28, valid_micro_fscore: 60.97, valid_macro_fscore: 46.79, test_loss: 1.3276, test_acc: 55.3, test_micro_fscore: 52.2, test_macro_fscore: 39.83, time: 8.12 sec
[2022-06-24 09:09:24,509][run.py][line:158][INFO] Epoch: 11, train_loss: 0.1242, train_acc: 95.61, train_micro_fscore: 86.03, train_macro_fscore: 78.0, valid_loss: 0.2696, valid_acc: 91.05, valid_micro_fscore: 61.26, valid_macro_fscore: 47.61, test_loss: 1.4111, test_acc: 52.34, test_micro_fscore: 49.79, test_macro_fscore: 37.68, time: 8.11 sec
