[2022-06-24 09:14:31,516][run.py][line:117][INFO] start training on GPU 0!
[2022-06-24 09:14:31,516][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, iemocaptest=True, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=3, windowf=0, withvae='True', max_grad_norm=5.0, lr=7e-05, dropout=0.0, batch_size=32, epochs=30, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-24 09:15:27,914][run.py][line:158][INFO] Epoch: 1, train_loss: 0.3607, train_acc: 90.16, train_micro_fscore: 63.28, train_macro_fscore: 31.21, valid_loss: 0.3013, valid_acc: 91.21, valid_micro_fscore: 56.66, valid_macro_fscore: 29.4, test_loss: 1.9042, test_acc: 19.73, test_micro_fscore: 3.07, test_macro_fscore: 11.14, time: 30.91 sec
[2022-06-24 09:15:55,149][run.py][line:158][INFO] Epoch: 2, train_loss: 0.1512, train_acc: 94.91, train_micro_fscore: 83.08, train_macro_fscore: 55.96, valid_loss: 0.277, valid_acc: 91.47, valid_micro_fscore: 60.84, valid_macro_fscore: 43.41, test_loss: 1.5821, test_acc: 37.55, test_micro_fscore: 27.84, test_macro_fscore: 19.8, time: 27.23 sec
[2022-06-24 09:16:25,291][run.py][line:158][INFO] Epoch: 3, train_loss: 0.1407, train_acc: 95.25, train_micro_fscore: 84.54, train_macro_fscore: 63.41, valid_loss: 0.2942, valid_acc: 91.15, valid_micro_fscore: 61.15, valid_macro_fscore: 42.39, test_loss: 1.4929, test_acc: 38.47, test_micro_fscore: 30.98, test_macro_fscore: 21.97, time: 30.14 sec
[2022-06-24 09:16:37,988][run.py][line:158][INFO] Epoch: 4, train_loss: 0.1377, train_acc: 95.33, train_micro_fscore: 84.91, train_macro_fscore: 65.53, valid_loss: 0.2726, valid_acc: 91.01, valid_micro_fscore: 61.29, valid_macro_fscore: 46.23, test_loss: 1.3681, test_acc: 46.98, test_micro_fscore: 41.64, test_macro_fscore: 28.24, time: 12.7 sec
[2022-06-24 09:17:06,012][run.py][line:158][INFO] Epoch: 5, train_loss: 0.1353, train_acc: 95.41, train_micro_fscore: 85.23, train_macro_fscore: 71.92, valid_loss: 0.2851, valid_acc: 91.11, valid_micro_fscore: 61.63, valid_macro_fscore: 46.24, test_loss: 1.3882, test_acc: 46.3, test_micro_fscore: 40.83, test_macro_fscore: 27.92, time: 28.02 sec
[2022-06-24 09:17:36,209][run.py][line:158][INFO] Epoch: 6, train_loss: 0.1341, train_acc: 95.4, train_micro_fscore: 85.31, train_macro_fscore: 75.03, valid_loss: 0.2749, valid_acc: 91.28, valid_micro_fscore: 61.63, valid_macro_fscore: 47.75, test_loss: 1.4173, test_acc: 45.38, test_micro_fscore: 38.71, test_macro_fscore: 27.8, time: 30.2 sec
[2022-06-24 09:18:06,577][run.py][line:158][INFO] Epoch: 7, train_loss: 0.1319, train_acc: 95.45, train_micro_fscore: 85.52, train_macro_fscore: 76.31, valid_loss: 0.2882, valid_acc: 91.39, valid_micro_fscore: 61.23, valid_macro_fscore: 49.3, test_loss: 1.374, test_acc: 50.18, test_micro_fscore: 43.24, test_macro_fscore: 30.84, time: 30.37 sec
[2022-06-24 09:18:44,532][run.py][line:158][INFO] Epoch: 8, train_loss: 0.1297, train_acc: 95.51, train_micro_fscore: 85.65, train_macro_fscore: 76.27, valid_loss: 0.2752, valid_acc: 90.78, valid_micro_fscore: 61.26, valid_macro_fscore: 46.13, test_loss: 1.3103, test_acc: 53.58, test_micro_fscore: 49.41, test_macro_fscore: 37.1, time: 37.95 sec
[2022-06-24 09:19:23,559][run.py][line:158][INFO] Epoch: 9, train_loss: 0.129, train_acc: 95.54, train_micro_fscore: 85.77, train_macro_fscore: 76.53, valid_loss: 0.3076, valid_acc: 91.09, valid_micro_fscore: 61.31, valid_macro_fscore: 47.69, test_loss: 1.295, test_acc: 55.73, test_micro_fscore: 50.68, test_macro_fscore: 44.95, time: 39.03 sec
[2022-06-24 09:19:49,892][run.py][line:158][INFO] Epoch: 10, train_loss: 0.1274, train_acc: 95.63, train_micro_fscore: 86.11, train_macro_fscore: 77.71, valid_loss: 0.2834, valid_acc: 91.14, valid_micro_fscore: 61.41, valid_macro_fscore: 43.91, test_loss: 1.411, test_acc: 47.35, test_micro_fscore: 41.38, test_macro_fscore: 28.21, time: 26.33 sec
[2022-06-24 09:20:22,400][run.py][line:158][INFO] Epoch: 11, train_loss: 0.1273, train_acc: 95.59, train_micro_fscore: 85.98, train_macro_fscore: 77.61, valid_loss: 0.2874, valid_acc: 91.45, valid_micro_fscore: 61.25, valid_macro_fscore: 45.45, test_loss: 1.4221, test_acc: 44.02, test_micro_fscore: 37.13, test_macro_fscore: 26.91, time: 32.51 sec
[2022-06-24 09:21:01,485][run.py][line:158][INFO] Epoch: 12, train_loss: 0.1261, train_acc: 95.59, train_micro_fscore: 86.02, train_macro_fscore: 78.1, valid_loss: 0.289, valid_acc: 91.11, valid_micro_fscore: 60.52, valid_macro_fscore: 46.21, test_loss: 1.245, test_acc: 57.64, test_micro_fscore: 53.01, test_macro_fscore: 44.18, time: 39.08 sec
[2022-06-24 09:21:32,416][run.py][line:158][INFO] Epoch: 13, train_loss: 0.124, train_acc: 95.66, train_micro_fscore: 86.23, train_macro_fscore: 78.0, valid_loss: 0.2891, valid_acc: 91.16, valid_micro_fscore: 61.51, valid_macro_fscore: 47.53, test_loss: 1.2725, test_acc: 59.93, test_micro_fscore: 56.84, test_macro_fscore: 47.3, time: 30.93 sec
[2022-06-24 09:21:53,611][run.py][line:158][INFO] Epoch: 14, train_loss: 0.1231, train_acc: 95.71, train_micro_fscore: 86.38, train_macro_fscore: 78.31, valid_loss: 0.3058, valid_acc: 91.35, valid_micro_fscore: 60.47, valid_macro_fscore: 43.15, test_loss: 1.3464, test_acc: 50.62, test_micro_fscore: 46.29, test_macro_fscore: 43.61, time: 21.19 sec
[2022-06-24 09:22:16,237][run.py][line:158][INFO] Epoch: 15, train_loss: 0.1224, train_acc: 95.65, train_micro_fscore: 86.27, train_macro_fscore: 78.99, valid_loss: 0.3275, valid_acc: 90.02, valid_micro_fscore: 59.91, valid_macro_fscore: 47.03, test_loss: 1.3028, test_acc: 50.55, test_micro_fscore: 46.07, test_macro_fscore: 34.99, time: 22.63 sec
[2022-06-24 09:22:39,573][run.py][line:158][INFO] Epoch: 16, train_loss: 0.1219, train_acc: 95.68, train_micro_fscore: 86.29, train_macro_fscore: 78.83, valid_loss: 0.2784, valid_acc: 91.45, valid_micro_fscore: 60.84, valid_macro_fscore: 46.75, test_loss: 1.3036, test_acc: 58.32, test_micro_fscore: 54.03, test_macro_fscore: 41.98, time: 23.34 sec
[2022-06-24 09:23:19,034][run.py][line:158][INFO] Epoch: 17, train_loss: 0.1205, train_acc: 95.73, train_micro_fscore: 86.52, train_macro_fscore: 79.22, valid_loss: 0.28, valid_acc: 91.31, valid_micro_fscore: 61.27, valid_macro_fscore: 48.84, test_loss: 1.2597, test_acc: 57.09, test_micro_fscore: 52.13, test_macro_fscore: 46.74, time: 39.46 sec
[2022-06-24 09:23:45,681][run.py][line:158][INFO] Epoch: 18, train_loss: 0.1193, train_acc: 95.72, train_micro_fscore: 86.53, train_macro_fscore: 79.52, valid_loss: 0.2897, valid_acc: 91.06, valid_micro_fscore: 60.67, valid_macro_fscore: 47.13, test_loss: 1.2633, test_acc: 56.97, test_micro_fscore: 51.69, test_macro_fscore: 43.19, time: 26.65 sec
[2022-06-24 09:24:06,398][run.py][line:158][INFO] Epoch: 19, train_loss: 0.1172, train_acc: 95.82, train_micro_fscore: 86.81, train_macro_fscore: 79.87, valid_loss: 0.2848, valid_acc: 91.36, valid_micro_fscore: 61.72, valid_macro_fscore: 48.32, test_loss: 1.2629, test_acc: 60.79, test_micro_fscore: 58.25, test_macro_fscore: 48.42, time: 20.72 sec
[2022-06-24 09:24:27,747][run.py][line:158][INFO] Epoch: 20, train_loss: 0.118, train_acc: 95.77, train_micro_fscore: 86.68, train_macro_fscore: 80.26, valid_loss: 0.2982, valid_acc: 91.35, valid_micro_fscore: 61.44, valid_macro_fscore: 47.21, test_loss: 1.6306, test_acc: 43.59, test_micro_fscore: 34.39, test_macro_fscore: 27.49, time: 21.35 sec
[2022-06-24 09:24:48,713][run.py][line:158][INFO] Epoch: 21, train_loss: 0.117, train_acc: 95.8, train_micro_fscore: 86.76, train_macro_fscore: 80.3, valid_loss: 0.2997, valid_acc: 91.39, valid_micro_fscore: 61.6, valid_macro_fscore: 46.91, test_loss: 1.5158, test_acc: 47.16, test_micro_fscore: 40.16, test_macro_fscore: 34.6, time: 20.97 sec
[2022-06-24 09:25:09,652][run.py][line:158][INFO] Epoch: 22, train_loss: 0.1156, train_acc: 95.84, train_micro_fscore: 86.92, train_macro_fscore: 80.25, valid_loss: 0.3048, valid_acc: 90.41, valid_micro_fscore: 60.42, valid_macro_fscore: 46.8, test_loss: 1.5147, test_acc: 46.24, test_micro_fscore: 39.71, test_macro_fscore: 31.99, time: 20.94 sec
[2022-06-24 09:25:40,146][run.py][line:158][INFO] Epoch: 23, train_loss: 0.1143, train_acc: 95.83, train_micro_fscore: 86.88, train_macro_fscore: 80.09, valid_loss: 0.2945, valid_acc: 91.57, valid_micro_fscore: 61.87, valid_macro_fscore: 48.86, test_loss: 1.4634, test_acc: 50.68, test_micro_fscore: 44.49, test_macro_fscore: 36.61, time: 30.49 sec
[2022-06-24 09:26:07,463][run.py][line:158][INFO] Epoch: 24, train_loss: 0.1134, train_acc: 95.84, train_micro_fscore: 86.97, train_macro_fscore: 80.91, valid_loss: 0.3339, valid_acc: 91.42, valid_micro_fscore: 60.78, valid_macro_fscore: 46.33, test_loss: 1.5131, test_acc: 50.06, test_micro_fscore: 44.77, test_macro_fscore: 38.0, time: 27.32 sec
[2022-06-24 09:26:36,186][run.py][line:158][INFO] Epoch: 25, train_loss: 0.1118, train_acc: 95.9, train_micro_fscore: 87.18, train_macro_fscore: 81.52, valid_loss: 0.2809, valid_acc: 91.5, valid_micro_fscore: 60.59, valid_macro_fscore: 47.27, test_loss: 1.3252, test_acc: 58.45, test_micro_fscore: 55.03, test_macro_fscore: 54.4, time: 28.72 sec
[2022-06-24 09:27:15,517][run.py][line:158][INFO] Epoch: 26, train_loss: 0.1108, train_acc: 95.93, train_micro_fscore: 87.26, train_macro_fscore: 81.78, valid_loss: 0.2996, valid_acc: 91.18, valid_micro_fscore: 61.42, valid_macro_fscore: 47.84, test_loss: 1.5608, test_acc: 49.32, test_micro_fscore: 42.54, test_macro_fscore: 33.6, time: 39.33 sec
[2022-06-24 09:27:44,027][run.py][line:158][INFO] Epoch: 27, train_loss: 0.1088, train_acc: 95.96, train_micro_fscore: 87.38, train_macro_fscore: 82.06, valid_loss: 0.3029, valid_acc: 91.47, valid_micro_fscore: 60.59, valid_macro_fscore: 47.45, test_loss: 1.4337, test_acc: 56.91, test_micro_fscore: 52.33, test_macro_fscore: 49.4, time: 28.51 sec
