[2022-06-21 03:49:28,990][run.py][line:117][INFO] start training on GPU 0!
[2022-06-21 03:49:28,990][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, iemocaptest=True, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=3, windowf=0, withvae=True, max_grad_norm=5.0, lr=9e-06, dropout=0.3, batch_size=32, epochs=80, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-21 03:50:16,639][run.py][line:158][INFO] Epoch: 1, train_loss: 0.9322, train_acc: 79.49, train_micro_fscore: 4.71, train_macro_fscore: 13.92, valid_loss: 0.3433, valid_acc: 90.36, valid_micro_fscore: 48.57, valid_macro_fscore: 21.9, test_loss: 1.9618, test_acc: 18.56, test_micro_fscore: 0.44, test_macro_fscore: 5.83, time: 29.67 sec
[2022-06-21 03:50:47,300][run.py][line:158][INFO] Epoch: 2, train_loss: 0.2326, train_acc: 92.24, train_micro_fscore: 70.8, train_macro_fscore: 26.48, valid_loss: 0.3358, valid_acc: 90.85, valid_micro_fscore: 56.39, valid_macro_fscore: 26.34, test_loss: 1.9245, test_acc: 18.68, test_micro_fscore: 5.24, test_macro_fscore: 10.14, time: 30.66 sec
[2022-06-21 03:51:08,585][run.py][line:158][INFO] Epoch: 3, train_loss: 0.2008, train_acc: 93.47, train_micro_fscore: 75.94, train_macro_fscore: 33.65, valid_loss: 0.3235, valid_acc: 90.46, valid_micro_fscore: 56.19, valid_macro_fscore: 28.05, test_loss: 1.8815, test_acc: 18.43, test_micro_fscore: 5.18, test_macro_fscore: 8.72, time: 21.28 sec
[2022-06-21 03:51:45,819][run.py][line:158][INFO] Epoch: 4, train_loss: 0.1918, train_acc: 93.63, train_micro_fscore: 76.11, train_macro_fscore: 34.06, valid_loss: 0.3105, valid_acc: 90.72, valid_micro_fscore: 56.25, valid_macro_fscore: 28.3, test_loss: 1.857, test_acc: 18.74, test_micro_fscore: 3.86, test_macro_fscore: 10.45, time: 37.23 sec
[2022-06-21 03:52:22,416][run.py][line:158][INFO] Epoch: 5, train_loss: 0.1849, train_acc: 93.73, train_micro_fscore: 76.53, train_macro_fscore: 34.47, valid_loss: 0.3187, valid_acc: 90.79, valid_micro_fscore: 57.05, valid_macro_fscore: 28.74, test_loss: 1.8521, test_acc: 18.56, test_micro_fscore: 3.6, test_macro_fscore: 11.13, time: 36.6 sec
[2022-06-21 03:52:41,176][run.py][line:158][INFO] Epoch: 6, train_loss: 0.1769, train_acc: 93.82, train_micro_fscore: 77.16, train_macro_fscore: 35.03, valid_loss: 0.3039, valid_acc: 90.79, valid_micro_fscore: 57.04, valid_macro_fscore: 28.93, test_loss: 1.8568, test_acc: 18.56, test_micro_fscore: 3.55, test_macro_fscore: 11.59, time: 18.76 sec
[2022-06-21 03:53:05,014][run.py][line:158][INFO] Epoch: 7, train_loss: 0.1703, train_acc: 93.87, train_micro_fscore: 77.85, train_macro_fscore: 36.77, valid_loss: 0.3131, valid_acc: 90.87, valid_micro_fscore: 58.26, valid_macro_fscore: 32.06, test_loss: 1.8504, test_acc: 18.37, test_micro_fscore: 4.13, test_macro_fscore: 11.89, time: 23.84 sec
[2022-06-21 03:53:35,543][run.py][line:158][INFO] Epoch: 8, train_loss: 0.1632, train_acc: 94.47, train_micro_fscore: 80.68, train_macro_fscore: 48.53, valid_loss: 0.3107, valid_acc: 90.95, valid_micro_fscore: 60.38, valid_macro_fscore: 40.1, test_loss: 1.8318, test_acc: 18.43, test_micro_fscore: 4.84, test_macro_fscore: 13.48, time: 30.53 sec
[2022-06-21 03:54:01,849][run.py][line:158][INFO] Epoch: 9, train_loss: 0.1583, train_acc: 94.76, train_micro_fscore: 82.19, train_macro_fscore: 53.89, valid_loss: 0.3017, valid_acc: 91.1, valid_micro_fscore: 61.03, valid_macro_fscore: 42.15, test_loss: 1.7815, test_acc: 26.51, test_micro_fscore: 15.54, test_macro_fscore: 17.18, time: 26.31 sec
[2022-06-21 03:54:32,215][run.py][line:158][INFO] Epoch: 10, train_loss: 0.1536, train_acc: 94.97, train_micro_fscore: 83.1, train_macro_fscore: 55.81, valid_loss: 0.2975, valid_acc: 91.11, valid_micro_fscore: 61.03, valid_macro_fscore: 42.61, test_loss: 1.741, test_acc: 34.16, test_micro_fscore: 25.06, test_macro_fscore: 19.58, time: 30.37 sec
[2022-06-21 03:55:00,147][run.py][line:158][INFO] Epoch: 11, train_loss: 0.1494, train_acc: 95.02, train_micro_fscore: 83.39, train_macro_fscore: 56.64, valid_loss: 0.2884, valid_acc: 91.04, valid_micro_fscore: 61.08, valid_macro_fscore: 42.51, test_loss: 1.6884, test_acc: 36.25, test_micro_fscore: 27.94, test_macro_fscore: 20.3, time: 27.93 sec
