[2022-06-11 05:01:36,706][run.py][line:117][INFO] start training on GPU 0!
[2022-06-11 05:01:36,706][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='EmoryNLP', windowp=3, windowf=0, withvae=True, max_grad_norm=5.0, lr=0.0006, dropout=0.0, batch_size=8, epochs=50, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-11 05:01:48,639][run.py][line:172][INFO] Epoch: 1, train_loss: 1.2011, train_acc: 57.97, train_fscore: 51.77, valid_loss: 2.0944, valid_acc: 38.76, valid_fscore: 37.48, test_loss: 2.0264, test_acc: 39.53, test_fscore: 37.63, time: 7.13 sec
[2022-06-11 05:01:56,587][run.py][line:172][INFO] Epoch: 2, train_loss: 0.9124, train_acc: 72.43, train_fscore: 70.58, valid_loss: 1.9371, valid_acc: 40.4, valid_fscore: 38.44, test_loss: 1.8758, test_acc: 39.68, test_fscore: 36.83, time: 7.95 sec
[2022-06-11 05:02:02,623][run.py][line:172][INFO] Epoch: 3, train_loss: 0.8886, train_acc: 72.91, train_fscore: 71.37, valid_loss: 2.0727, valid_acc: 40.03, valid_fscore: 38.61, test_loss: 2.0713, test_acc: 39.83, test_fscore: 37.75, time: 6.04 sec
[2022-06-11 05:02:07,248][run.py][line:172][INFO] Epoch: 4, train_loss: 0.8781, train_acc: 73.72, train_fscore: 72.77, valid_loss: 2.1853, valid_acc: 38.32, valid_fscore: 38.31, test_loss: 2.101, test_acc: 38.4, test_fscore: 37.31, time: 4.62 sec
[2022-06-11 05:02:12,097][run.py][line:172][INFO] Epoch: 5, train_loss: 0.8598, train_acc: 74.19, train_fscore: 73.3, valid_loss: 2.0132, valid_acc: 40.18, valid_fscore: 39.3, test_loss: 2.0384, test_acc: 38.86, test_fscore: 37.35, time: 4.85 sec
[2022-06-11 05:02:16,388][run.py][line:172][INFO] Epoch: 6, train_loss: 0.8403, train_acc: 74.19, train_fscore: 73.29, valid_loss: 2.0009, valid_acc: 38.84, valid_fscore: 38.47, test_loss: 1.9393, test_acc: 38.4, test_fscore: 37.25, time: 4.29 sec
[2022-06-11 05:02:23,434][run.py][line:172][INFO] Epoch: 7, train_loss: 0.8308, train_acc: 74.59, train_fscore: 73.61, valid_loss: 2.0118, valid_acc: 40.03, valid_fscore: 39.79, test_loss: 1.9598, test_acc: 38.86, test_fscore: 37.9, time: 7.05 sec
[2022-06-11 05:02:30,080][run.py][line:172][INFO] Epoch: 8, train_loss: 0.8123, train_acc: 75.48, train_fscore: 74.74, valid_loss: 1.999, valid_acc: 38.69, valid_fscore: 37.78, test_loss: 1.932, test_acc: 40.21, test_fscore: 38.16, time: 6.65 sec
[2022-06-11 05:02:35,105][run.py][line:172][INFO] Epoch: 9, train_loss: 0.7906, train_acc: 75.94, train_fscore: 75.11, valid_loss: 2.1254, valid_acc: 39.21, valid_fscore: 38.28, test_loss: 2.0489, test_acc: 38.4, test_fscore: 36.42, time: 5.02 sec
[2022-06-11 05:02:41,422][run.py][line:172][INFO] Epoch: 10, train_loss: 0.755, train_acc: 76.77, train_fscore: 76.07, valid_loss: 2.0058, valid_acc: 38.69, valid_fscore: 36.58, test_loss: 1.9721, test_acc: 40.66, test_fscore: 37.44, time: 6.32 sec
[2022-06-11 05:02:46,116][run.py][line:172][INFO] Epoch: 11, train_loss: 0.7386, train_acc: 77.23, train_fscore: 76.5, valid_loss: 2.2233, valid_acc: 39.81, valid_fscore: 38.84, test_loss: 2.0973, test_acc: 40.96, test_fscore: 39.3, time: 4.69 sec
[2022-06-11 05:02:54,654][run.py][line:172][INFO] Epoch: 12, train_loss: 0.7146, train_acc: 77.85, train_fscore: 77.23, valid_loss: 2.1795, valid_acc: 39.51, valid_fscore: 38.77, test_loss: 2.1034, test_acc: 39.23, test_fscore: 38.0, time: 8.54 sec
[2022-06-11 05:03:02,088][run.py][line:172][INFO] Epoch: 13, train_loss: 0.6999, train_acc: 78.52, train_fscore: 77.9, valid_loss: 2.1066, valid_acc: 36.31, valid_fscore: 36.37, test_loss: 2.0372, test_acc: 37.95, test_fscore: 36.81, time: 7.43 sec
[2022-06-11 05:03:08,570][run.py][line:172][INFO] Epoch: 14, train_loss: 0.6631, train_acc: 80.04, train_fscore: 79.55, valid_loss: 2.216, valid_acc: 38.99, valid_fscore: 38.69, test_loss: 2.1125, test_acc: 39.53, test_fscore: 38.2, time: 6.48 sec
[2022-06-11 05:03:15,812][run.py][line:172][INFO] Epoch: 15, train_loss: 0.6372, train_acc: 80.27, train_fscore: 79.82, valid_loss: 2.5061, valid_acc: 38.32, valid_fscore: 38.17, test_loss: 2.3843, test_acc: 39.23, test_fscore: 38.02, time: 7.24 sec
[2022-06-11 05:03:21,416][run.py][line:172][INFO] Epoch: 16, train_loss: 0.5986, train_acc: 81.7, train_fscore: 81.24, valid_loss: 2.502, valid_acc: 39.36, valid_fscore: 38.12, test_loss: 2.4131, test_acc: 39.08, test_fscore: 36.73, time: 5.6 sec
[2022-06-11 05:03:26,790][run.py][line:172][INFO] Epoch: 17, train_loss: 0.5529, train_acc: 82.9, train_fscore: 82.47, valid_loss: 2.5951, valid_acc: 37.87, valid_fscore: 37.84, test_loss: 2.5087, test_acc: 38.4, test_fscore: 37.23, time: 5.37 sec
[2022-06-11 05:03:35,575][run.py][line:172][INFO] Epoch: 18, train_loss: 0.5022, train_acc: 83.98, train_fscore: 83.7, valid_loss: 2.8065, valid_acc: 37.5, valid_fscore: 37.01, test_loss: 2.661, test_acc: 40.29, test_fscore: 38.77, time: 8.78 sec
[2022-06-11 05:03:40,588][run.py][line:172][INFO] Epoch: 19, train_loss: 0.4652, train_acc: 85.14, train_fscore: 84.85, valid_loss: 2.8343, valid_acc: 39.43, valid_fscore: 39.55, test_loss: 2.6604, test_acc: 38.1, test_fscore: 37.18, time: 5.01 sec
[2022-06-11 05:03:45,533][run.py][line:172][INFO] Epoch: 20, train_loss: 0.4706, train_acc: 85.28, train_fscore: 85.03, valid_loss: 2.9793, valid_acc: 37.43, valid_fscore: 36.78, test_loss: 2.777, test_acc: 39.23, test_fscore: 37.83, time: 4.95 sec
[2022-06-11 05:03:50,080][run.py][line:172][INFO] Epoch: 21, train_loss: 0.3951, train_acc: 86.99, train_fscore: 86.79, valid_loss: 3.3935, valid_acc: 36.76, valid_fscore: 36.93, test_loss: 3.1106, test_acc: 38.63, test_fscore: 37.86, time: 4.55 sec
[2022-06-11 05:03:54,369][run.py][line:172][INFO] Epoch: 22, train_loss: 0.3876, train_acc: 87.58, train_fscore: 87.38, valid_loss: 2.9416, valid_acc: 37.35, valid_fscore: 36.82, test_loss: 2.8779, test_acc: 38.55, test_fscore: 37.4, time: 4.29 sec
[2022-06-11 05:03:58,393][run.py][line:172][INFO] Epoch: 23, train_loss: 0.371, train_acc: 88.45, train_fscore: 88.32, valid_loss: 3.1553, valid_acc: 36.46, valid_fscore: 36.04, test_loss: 2.8875, test_acc: 37.27, test_fscore: 36.06, time: 4.02 sec
