[2022-06-10 17:50:34,418][run.py][line:117][INFO] start training on GPU 0!
[2022-06-10 17:50:34,418][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='IEMOCAP', windowp=3, windowf=0, withvae=True, max_grad_norm=5.0, lr=0.0005, dropout=0.4, batch_size=8, epochs=50, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-10 17:50:44,563][run.py][line:172][INFO] Epoch: 1, train_loss: 1.6574, train_acc: 25.95, train_fscore: 17.84, valid_loss: 1.3451, valid_acc: 37.76, valid_fscore: 29.29, test_loss: 1.3717, test_acc: 46.18, test_fscore: 37.05, time: 5.69 sec
[2022-06-10 17:50:54,032][run.py][line:172][INFO] Epoch: 2, train_loss: 1.0545, train_acc: 56.28, train_fscore: 54.22, valid_loss: 1.1533, valid_acc: 47.35, valid_fscore: 38.2, test_loss: 1.2336, test_acc: 52.16, test_fscore: 44.66, time: 9.47 sec
[2022-06-10 17:51:00,765][run.py][line:172][INFO] Epoch: 3, train_loss: 0.7925, train_acc: 67.35, train_fscore: 66.31, valid_loss: 1.1688, valid_acc: 61.73, valid_fscore: 59.28, test_loss: 1.07, test_acc: 63.81, test_fscore: 60.25, time: 6.73 sec
[2022-06-10 17:51:06,546][run.py][line:172][INFO] Epoch: 4, train_loss: 0.7149, train_acc: 74.42, train_fscore: 71.56, valid_loss: 1.0588, valid_acc: 63.37, valid_fscore: 60.36, test_loss: 1.0077, test_acc: 65.6, test_fscore: 62.24, time: 5.78 sec
[2022-06-10 17:51:11,833][run.py][line:172][INFO] Epoch: 5, train_loss: 0.6561, train_acc: 76.06, train_fscore: 73.15, valid_loss: 1.082, valid_acc: 63.88, valid_fscore: 61.56, test_loss: 1.0127, test_acc: 66.28, test_fscore: 63.04, time: 5.29 sec
[2022-06-10 17:51:19,157][run.py][line:172][INFO] Epoch: 6, train_loss: 0.6007, train_acc: 77.25, train_fscore: 74.8, valid_loss: 1.1151, valid_acc: 63.88, valid_fscore: 63.56, test_loss: 0.9746, test_acc: 67.32, test_fscore: 65.22, time: 7.32 sec
[2022-06-10 17:51:31,424][run.py][line:172][INFO] Epoch: 7, train_loss: 0.5565, train_acc: 82.13, train_fscore: 81.96, valid_loss: 1.2452, valid_acc: 59.9, valid_fscore: 60.54, test_loss: 1.1541, test_acc: 63.56, test_fscore: 63.36, time: 12.27 sec
[2022-06-10 17:51:43,728][run.py][line:172][INFO] Epoch: 8, train_loss: 0.5393, train_acc: 82.92, train_fscore: 82.92, valid_loss: 1.2114, valid_acc: 64.08, valid_fscore: 64.61, test_loss: 1.0563, test_acc: 66.03, test_fscore: 65.52, time: 12.3 sec
[2022-06-10 17:51:55,805][run.py][line:172][INFO] Epoch: 9, train_loss: 0.5332, train_acc: 82.96, train_fscore: 82.97, valid_loss: 1.1022, valid_acc: 64.59, valid_fscore: 65.04, test_loss: 0.9966, test_acc: 66.65, test_fscore: 66.29, time: 12.08 sec
[2022-06-10 17:52:01,905][run.py][line:172][INFO] Epoch: 10, train_loss: 0.5256, train_acc: 83.15, train_fscore: 83.08, valid_loss: 1.1503, valid_acc: 64.29, valid_fscore: 64.52, test_loss: 1.0315, test_acc: 67.32, test_fscore: 67.18, time: 6.1 sec
[2022-06-10 17:52:07,023][run.py][line:172][INFO] Epoch: 11, train_loss: 0.5045, train_acc: 84.24, train_fscore: 84.24, valid_loss: 1.1708, valid_acc: 64.69, valid_fscore: 65.32, test_loss: 1.0796, test_acc: 66.28, test_fscore: 66.23, time: 5.12 sec
[2022-06-10 17:52:14,524][run.py][line:172][INFO] Epoch: 12, train_loss: 0.4972, train_acc: 84.07, train_fscore: 84.04, valid_loss: 1.2005, valid_acc: 63.47, valid_fscore: 64.14, test_loss: 1.0173, test_acc: 67.14, test_fscore: 67.19, time: 7.5 sec
[2022-06-10 17:52:25,725][run.py][line:172][INFO] Epoch: 13, train_loss: 0.5147, train_acc: 83.4, train_fscore: 83.36, valid_loss: 1.1028, valid_acc: 63.47, valid_fscore: 63.3, test_loss: 1.0478, test_acc: 64.43, test_fscore: 64.5, time: 11.2 sec
[2022-06-10 17:52:30,295][run.py][line:172][INFO] Epoch: 14, train_loss: 0.5479, train_acc: 82.02, train_fscore: 82.07, valid_loss: 1.045, valid_acc: 65.51, valid_fscore: 65.45, test_loss: 1.0382, test_acc: 66.52, test_fscore: 66.26, time: 4.57 sec
[2022-06-10 17:52:34,857][run.py][line:172][INFO] Epoch: 15, train_loss: 0.4778, train_acc: 84.85, train_fscore: 84.83, valid_loss: 1.1248, valid_acc: 64.59, valid_fscore: 65.09, test_loss: 1.121, test_acc: 65.35, test_fscore: 65.43, time: 4.56 sec
[2022-06-10 17:52:40,024][run.py][line:172][INFO] Epoch: 16, train_loss: 0.4663, train_acc: 84.7, train_fscore: 84.68, valid_loss: 1.1014, valid_acc: 63.67, valid_fscore: 64.28, test_loss: 0.9889, test_acc: 67.82, test_fscore: 67.93, time: 5.17 sec
[2022-06-10 17:52:46,148][run.py][line:172][INFO] Epoch: 17, train_loss: 0.4405, train_acc: 85.62, train_fscore: 85.61, valid_loss: 1.2542, valid_acc: 64.9, valid_fscore: 65.11, test_loss: 1.0811, test_acc: 67.39, test_fscore: 67.17, time: 6.12 sec
[2022-06-10 17:52:52,264][run.py][line:172][INFO] Epoch: 18, train_loss: 0.4444, train_acc: 85.08, train_fscore: 85.07, valid_loss: 1.1762, valid_acc: 63.27, valid_fscore: 63.59, test_loss: 1.1214, test_acc: 66.46, test_fscore: 65.69, time: 6.12 sec
[2022-06-10 17:52:56,834][run.py][line:172][INFO] Epoch: 19, train_loss: 0.4518, train_acc: 85.04, train_fscore: 84.99, valid_loss: 1.2093, valid_acc: 62.55, valid_fscore: 63.01, test_loss: 1.2382, test_acc: 63.87, test_fscore: 63.73, time: 4.57 sec
[2022-06-10 17:53:03,581][run.py][line:172][INFO] Epoch: 20, train_loss: 0.4535, train_acc: 85.66, train_fscore: 85.67, valid_loss: 1.1634, valid_acc: 63.06, valid_fscore: 63.64, test_loss: 1.0624, test_acc: 66.65, test_fscore: 66.32, time: 6.75 sec
[2022-06-10 17:53:10,356][run.py][line:172][INFO] Epoch: 21, train_loss: 0.4155, train_acc: 86.06, train_fscore: 86.05, valid_loss: 1.3038, valid_acc: 61.53, valid_fscore: 62.09, test_loss: 1.2095, test_acc: 66.21, test_fscore: 66.15, time: 6.77 sec
[2022-06-10 17:53:15,080][run.py][line:172][INFO] Epoch: 22, train_loss: 0.4089, train_acc: 85.71, train_fscore: 85.68, valid_loss: 1.2466, valid_acc: 64.49, valid_fscore: 64.99, test_loss: 1.0971, test_acc: 67.76, test_fscore: 67.72, time: 4.72 sec
[2022-06-10 17:53:20,160][run.py][line:172][INFO] Epoch: 23, train_loss: 0.4024, train_acc: 86.0, train_fscore: 85.98, valid_loss: 1.2, valid_acc: 64.08, valid_fscore: 64.46, test_loss: 1.0721, test_acc: 67.76, test_fscore: 67.77, time: 5.08 sec
[2022-06-10 17:53:24,380][run.py][line:172][INFO] Epoch: 24, train_loss: 0.3791, train_acc: 86.84, train_fscore: 86.83, valid_loss: 1.2515, valid_acc: 64.59, valid_fscore: 64.87, test_loss: 1.2626, test_acc: 65.6, test_fscore: 65.54, time: 4.22 sec
[2022-06-10 17:53:28,904][run.py][line:172][INFO] Epoch: 25, train_loss: 0.3896, train_acc: 85.98, train_fscore: 85.95, valid_loss: 1.117, valid_acc: 65.1, valid_fscore: 64.92, test_loss: 1.201, test_acc: 65.54, test_fscore: 65.33, time: 4.52 sec
