[2022-06-11 08:48:09,546][run.py][line:117][INFO] start training on GPU 0!
[2022-06-11 08:48:09,547][run.py][line:118][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, gnn_hidden_dim=300, code_dim=192, feat_dim=1024, mlp_layers=2, gnn_layers=1, emb_dim=1024, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='MELD', windowp=3, windowf=0, withvae=True, max_grad_norm=5.0, lr=9e-06, dropout=0.2, batch_size=32, epochs=80, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-06-11 08:48:19,766][run.py][line:172][INFO] Epoch: 1, train_loss: 1.9334, train_acc: 24.54, train_fscore: 23.28, valid_loss: 1.9261, valid_acc: 42.38, valid_fscore: 25.23, test_loss: 1.9232, test_acc: 48.12, test_fscore: 31.27, time: 4.94 sec
[2022-06-11 08:48:24,699][run.py][line:172][INFO] Epoch: 2, train_loss: 1.9102, train_acc: 47.15, train_fscore: 30.22, valid_loss: 1.9053, valid_acc: 42.38, valid_fscore: 25.23, test_loss: 1.8977, test_acc: 48.12, test_fscore: 31.27, time: 4.93 sec
[2022-06-11 08:48:29,425][run.py][line:172][INFO] Epoch: 3, train_loss: 1.8674, train_acc: 47.15, train_fscore: 30.22, valid_loss: 1.8543, valid_acc: 42.38, valid_fscore: 25.23, test_loss: 1.8351, test_acc: 48.12, test_fscore: 31.27, time: 4.73 sec
[2022-06-11 08:48:33,583][run.py][line:172][INFO] Epoch: 4, train_loss: 1.6871, train_acc: 47.15, train_fscore: 30.22, valid_loss: 1.6167, valid_acc: 42.38, valid_fscore: 25.23, test_loss: 1.5488, test_acc: 48.12, test_fscore: 31.27, time: 4.16 sec
[2022-06-11 08:48:35,681][run.py][line:172][INFO] Epoch: 5, train_loss: 1.2441, train_acc: 47.15, train_fscore: 30.22, valid_loss: 1.5769, valid_acc: 42.38, valid_fscore: 25.23, test_loss: 1.4591, test_acc: 48.12, test_fscore: 31.27, time: 2.1 sec
[2022-06-11 08:48:37,787][run.py][line:172][INFO] Epoch: 6, train_loss: 1.082, train_acc: 47.17, train_fscore: 30.26, valid_loss: 1.6311, valid_acc: 42.38, valid_fscore: 25.25, test_loss: 1.5293, test_acc: 48.12, test_fscore: 31.34, time: 2.11 sec
[2022-06-11 08:48:40,390][run.py][line:172][INFO] Epoch: 7, train_loss: 1.0084, train_acc: 58.56, train_fscore: 46.83, valid_loss: 1.6234, valid_acc: 45.27, valid_fscore: 36.65, test_loss: 1.5286, test_acc: 50.31, test_fscore: 42.57, time: 2.6 sec
[2022-06-11 08:48:44,389][run.py][line:172][INFO] Epoch: 8, train_loss: 0.8682, train_acc: 63.55, train_fscore: 54.64, valid_loss: 1.5942, valid_acc: 44.45, valid_fscore: 37.13, test_loss: 1.5326, test_acc: 49.58, test_fscore: 42.84, time: 4.0 sec
[2022-06-11 08:48:49,172][run.py][line:172][INFO] Epoch: 9, train_loss: 0.7097, train_acc: 76.55, train_fscore: 72.25, valid_loss: 1.7211, valid_acc: 59.15, valid_fscore: 54.8, test_loss: 1.6521, test_acc: 59.43, test_fscore: 56.3, time: 4.78 sec
[2022-06-11 08:48:52,469][run.py][line:172][INFO] Epoch: 10, train_loss: 0.6033, train_acc: 81.91, train_fscore: 78.0, valid_loss: 1.6902, valid_acc: 59.24, valid_fscore: 55.04, test_loss: 1.6868, test_acc: 59.39, test_fscore: 56.42, time: 3.3 sec
[2022-06-11 08:48:57,191][run.py][line:172][INFO] Epoch: 11, train_loss: 0.5223, train_acc: 84.43, train_fscore: 79.98, valid_loss: 1.7196, valid_acc: 59.51, valid_fscore: 55.0, test_loss: 1.7227, test_acc: 60.42, test_fscore: 57.2, time: 4.72 sec
[2022-06-11 08:49:02,262][run.py][line:172][INFO] Epoch: 12, train_loss: 0.4433, train_acc: 85.02, train_fscore: 80.35, valid_loss: 1.7822, valid_acc: 59.42, valid_fscore: 54.89, test_loss: 1.7467, test_acc: 60.69, test_fscore: 57.42, time: 5.07 sec
[2022-06-11 08:49:07,182][run.py][line:172][INFO] Epoch: 13, train_loss: 0.3969, train_acc: 86.13, train_fscore: 82.6, valid_loss: 1.7071, valid_acc: 61.41, valid_fscore: 58.66, test_loss: 1.7432, test_acc: 61.8, test_fscore: 59.73, time: 4.92 sec
[2022-06-11 08:49:11,838][run.py][line:172][INFO] Epoch: 14, train_loss: 0.3703, train_acc: 89.21, train_fscore: 87.02, valid_loss: 1.6752, valid_acc: 62.4, valid_fscore: 60.13, test_loss: 1.7182, test_acc: 62.8, test_fscore: 61.15, time: 4.65 sec
[2022-06-11 08:49:14,101][run.py][line:172][INFO] Epoch: 15, train_loss: 0.3488, train_acc: 90.13, train_fscore: 88.12, valid_loss: 1.7135, valid_acc: 62.22, valid_fscore: 60.28, test_loss: 1.7236, test_acc: 62.64, test_fscore: 61.24, time: 2.26 sec
